FRAME,OpenPose_NumberOfPeople,Volunteer1,Volunteer2,Volunteer3,Volunteer4,AVERAGE
P13_22491,1,1,2,1,1,1.25
P13_22525,1,1,2,1,1,1.25
P13_22769,1,2,2,2,2,2
P13_29459,4,5,6,4,6,5.25
P13_33989,0,1,1,1,1,1
P13_34028,1,1,1,1,1,1
P13_34770,0,0,0,0,1,0.25
P14_12768,5,4,4,3,5,4
P14_14112,2,3,3,3,3,3
P14_14257,2,2,2,2,2,2
P14_14894,0,0,0,0,0,0
P14_18256,1,0,3,0,0,0.75
P14_18420,3,6,7,8,8,7.25
P14_18926,5,6,8,7,8,7.25
P14_21044,0,0,0,0,0,0
P14_21697,0,0,0,0,0,0
P14_23201,0,0,0,0,0,0
P14_23694,3,3,3,4,3,3.25
P14_25534,4,4,4,4,5,4.25
P14_27989,6,8,6,6,6,6.5
P14_31153,0,0,0,0,0,0
P14_31703,0,0,2,0,2,1
P14_33320,1,1,1,1,6,2.25
P14_34867,5,0,4,4,5,3.25
P15_9245,0,0,0,0,0,0
P15_11958,0,0,0,0,0,0
P15_13560,3,4,4,4,4,4
P15_15205,1,2,5,3,5,3.75
P15_15591,4,6,6,4,5,5.25
P15_15653,6,8,8,7,8,7.75
P15_16714,1,1,2,2,2,1.75
P15_20019,4,4,4,5,4,4.25
P15_22317,0,1,0,0,0,0.25
P15_23881,2,2,2,2,2,2
P15_26084,0,4,5,5,5,4.75
P15_26472,7,11,11,10,11,10.75
P15_27503,0,0,0,0,0,0
P15_27756,0,0,0,0,1,0.25
P15_28408,0,0,0,0,0,0
P15_30369,8,9,9,9,10,9.25
P15_30492,5,7,7,5,10,7.25
P15_33740,1,1,1,1,1,1
P16_8758,0,0,0,0,0,0
P16_9133,0,0,0,0,0,0
P16_10511,0,0,0,0,0,0
P16_11874,0,0,0,0,0,0
P16_12382,1,1,1,0,1,0.75
P16_15419,0,0,0,0,0,0
P16_16319,0,0,0,0,1,0.25
P16_16465,0,0,0,0,0,0
P16_17527,0,0,0,0,0,0
P16_20476,1,0,0,0,0,0
P16_24122,0,0,0,0,0,0
P16_25179,0,0,0,0,0,0
P16_25617,0,0,0,0,0,0
P16_27742,0,0,0,0,0,0
P16_30025,0,0,0,0,0,0
P17_9445,0,0,0,0,0,0
P17_10019,0,0,0,0,0,0
P17_10258,0,0,0,0,0,0
P17_12636,0,0,0,0,0,0
P17_14132,0,0,0,0,0,0
P17_14605,0,0,0,0,0,0
P17_15442,0,0,0,0,0,0
P17_16279,0,0,0,0,0,0
P17_22982,3,2,0,3,3,2
P17_24042,0,0,0,0,0,0
P17_24174,0,0,0,0,0,0
P17_24198,0,0,0,0,0,0
P17_25785,0,0,0,0,0,0
P17_26301,0,0,0,0,0,0
P17_26844,0,0,0,0,0,0
P17_29704,1,1,1,1,1,1
P17_29720,1,1,1,1,1,1
P17_30493,0,0,0,0,0,0
P17_32089,0,0,0,0,0,0
P17_33523,0,0,0,0,0,0
P18_7552,0,0,0,0,0,0
P18_10561,0,0,0,0,0,0
P18_13383,0,0,0,0,1,0.25
P18_15646,1,1,1,1,1,1
P18_15651,1,1,1,1,1,1
P18_18789,0,0,0,0,0,0
P18_21785,0,0,0,0,0,0
P18_22323,0,0,0,0,0,0
P18_22360,0,0,0,0,0,0
P18_23444,0,0,0,0,0,0
P18_23973,0,0,0,0,0,0
P18_26266,0,0,0,0,0,0
P18_26803,0,0,0,0,0,0
P18_27581,0,0,0,0,0,0
P18_27973,0,1,1,0,1,0.75
P18_29737,0,0,0,0,0,0
P18_32117,0,0,0,0,0,0
P18_33333,0,1,1,0,1,0.75
P18_33694,0,0,0,0,0,0
P18_34472,0,0,0,0,0,0
P19_8369,0,0,0,0,0,0
P19_9731,0,0,0,0,0,0
P19_10614,0,0,0,0,0,0
P19_14066,2,2,2,2,2,2
P19_15788,0,0,0,0,0,0
P19_18423,1,3,3,3,3,3
P19_19535,0,0,0,0,0,0
P19_21392,0,0,0,0,0,0
P19_22046,1,0,0,0,0,0
